Company,Location,Num Employees,Date of Effect,Date of Notification
ABX Air ,Chehalis,52,"Tuesday, January 13, 2009",11/14/2008
"Sun Microsystems, Inc ",Bellevue,9,"Monday, January 05, 2009",11/5/2008
Mt. Hood Beverage ,Yakima & Kennewick,110,"Thursday, January 01, 2009",7/15/2008
Solid Ground ,Seattle,114,"Wednesday, December 31, 2008",10/30/2008
Morning Sun ,Tacoma,162,"Monday, December 22, 2008",10/20/2008
CDG Management ,Tacoma,34,"Sunday, December 21, 2008",11/21/2008
CDG Management ,Olympia,18,"Sunday, December 21, 2008",11/21/2008
BAE Systems ,Bremerton,31,"Friday, December 19, 2008",10/31/2008
Seattle Times ,Seattle,145,"Friday, December 12, 2008",11/4/2008
North Sky Communications ,Woodinville,57,"Thursday, December 11, 2008",12/11/2008
Stimson Lumber ,Colville,109,"Monday, December 08, 2008",10/6/2008
"Johnson Controls, Inc. ",DuPont,13,"Sunday, December 07, 2008",9/5/2008
Titus Tool Company ,Kent,50,"Sunday, November 30, 2008",7/31/2008
Heller Ehrman ,Seattle,139,"Friday, November 28, 2008",9/26/2008
Vivendi Games ,Issaquah,1,"Friday, November 07, 2008",9/5/2008
GMAC ResCap ,Bellevue,60,"Friday, October 31, 2008",8/6/2008
"IntelliTax Software Solutions, Inc. ",Bellevue,150,"Friday, October 24, 2008",10/23/2008
Milgard Windows ,Marysville,80,"Friday, October 24, 2008",10/14/2008
Rosario Resort ( Eastsound ,Orcas Island),195,"Monday, October 20, 2008",8/21/2008
Meridian Yacht/US Marine ,Arlington,276,"Thursday, October 16, 2008",10/16/2008
Meridian Yacht/US Marine ,Arlington,445,"Friday, October 10, 2008",10/9/2008
Alaska Distributors ,"Kent, Everett, Spokane",600,"Friday, October 03, 2008",8/1/2008
Cenveo Corporation ,Tukwila,15,"Friday, October 03, 2008",8/14/2008
Intermec Technologies ,Everett,184,"Friday, October 03, 2008",7/10/2008
Seattle Sonics ,Seattle,117,"Tuesday, September 30, 2008",8/6/2008
Columbia Lighting ,Spokane,211,"Friday, September 26, 2008",7/25/2008
Columbia Distributing ,4 sites,933,"Monday, September 15, 2008",7/14/2008
Vivendi Games ,Issaquah,53,"Saturday, September 13, 2008",7/28/2008
"Sun Microsystems, Inc ",Bellevue,9,"Monday, September 08, 2008",7/9/2008
American Airlines ,Seattle,22,"Friday, September 05, 2008",7/7/2008
Indymac Bank ,Bellevue,51,"Friday, September 05, 2008",7/14/2008
Syntax Brillian ,White Salmon,1,"Tuesday, September 02, 2008",8/5/2008
Starwood Resorts & Hotels ,Seattle,87,"Monday, September 01, 2008",7/25/2008
Washington Mutual ,Bellevue,84,"Sunday, August 31, 2008",4/28/2008
Ball Corporation ,Kent,112,"Sunday, August 31, 2008",5/14/2008
Seattle Times ,North Creek & Fairview,75,"Wednesday, August 27, 2008",7/30/2008
All-Woods Components ,Union Gap,29,"Wednesday, July 23, 2008",7/16/2008
"Sun Microsystems, Inc ",Bellevue,2,"Monday, July 21, 2008",5/21/2008
Educational Opportunities for Children and Family ,Vancouver,19,"Monday, June 30, 2008",4/25/2008
Pactiv Corporation ,Yakima,51,"Friday, May 09, 2008",2/27/2008
Macy's ,Seattle,697,"Friday, May 02, 2008",2/26/2008
Weyerhaeuser Company ,Toutle,81,"Thursday, May 01, 2008",3/6/2008
Wilcox Farms ,Cheney,47,"Wednesday, April 30, 2008",3/31/2008
Group Health  ,Redmond,363,"Wednesday, April 30, 2008",2/22/2008
Simpson Timber ,Tacoma/Shelton,111,"Monday, April 28, 2008",4/15/2008
J.R. Simplot ,Pasco,335,"Friday, April 18, 2008",2/15/2008
Sun Microsystems Inc ,Bellevue,1,"Monday, March 31, 2008",1/30/2008
Wilcox Farms ,Roy,130,"Monday, March 31, 2008",2/4/2008
Seattle Times - North Creek ,Bothell,7,"Monday, March 31, 2008",1/31/2008
ICOS Corporation ,Bothell,1,"Saturday, March 29, 2008",2/1/2008
Panasonic ,Vancouver,89,"Saturday, March 29, 2008",1/28/2008
DIGIO ,KIRKLAND,69,"Tuesday, March 18, 2008",1/18/2008
Holy Family Hospital ,Deer Park,79,"Saturday, March 15, 2008",1/10/2008
Xantrex Technology ,Arlington,55,"Saturday, March 01, 2008",12/11/2007
ICOS Corporation ,Bothell,6,"Friday, February 29, 2008",12/29/2007
Seattle Times - North Creek ,Bothell,71,"Friday, February 29, 2008",1/15/2008
Nastech Pharmaceutical ,Bothell,70,"Friday, February 29, 2008",2/29/2008
"Portac, Inc. ",Tacoma,71,"Monday, February 25, 2008",12/26/2007
Anesthesiologists Associated ,Spokane Valley,63,"Wednesday, February 20, 2008",2/19/2008
BAE Systems ,Keyport,55,"Tuesday, February 19, 2008",12/12/2007
Washington Mutual ,Bellevue,105,"Friday, February 15, 2008",12/10/2007
Pristina Pine ,Spokane Valley,98,"Wednesday, February 06, 2008",2/8/2008
FloorServe ,"Seattle, Tacoma and Vancouver",3,"Thursday, January 31, 2008",12/5/2007
Benchmark Electronics ,Redmond,150,"Tuesday, January 15, 2008",11/15/2007
Levitz Furniture ,Tukwila,60,"Wednesday, January 09, 2008",11/8/2007
Tree Top ,Cashmere,73,"Friday, January 04, 2008",11/5/2007
American Port Services ,Sumner,217,"Monday, December 31, 2007",9/13/2007
ICOS Corporation ,Bothell,13,"Saturday, December 29, 2007",10/30/2007
DAL Global Services ,SeaTac,132,"Wednesday, December 12, 2007",11/13/2007
Georgia Pacific Corporation ,Bellingham,210,"Saturday, December 08, 2007",10/8/2007
VAE Nortrack North America Inc. ,Seattle,58,"Saturday, December 01, 2007",9/25/2007
"Sun Microsystems, Inc ",Bellevue,9,"Monday, November 26, 2007",9/26/2007
"K Ply, Inc. ",Port Angeles,132,"Friday, November 02, 2007",2/29/2008
"Liquidation World USA, Inc. ",Nine Locations - WA,0,"Wednesday, October 31, 2007",8/27/2007
ICOS Corporation ,Bothell,12,"Monday, October 29, 2007",8/28/2007
Welco Lumber ,Marysville,57,"Friday, October 26, 2007",8/27/2007
Heritage Health & Rehab. Center ,Vancouver,50,"Monday, October 22, 2007",8/22/2007
Cenveo Corporation ,Tukwila,68,"Friday, October 19, 2007",8/21/2007
ICOS Corporation ,Bothell,1,"Monday, October 15, 2007",8/16/2007
Associated Grocers. Inc. ,Seattle-Renton,684,"Monday, October 01, 2007",8/2/2007
ICOS Corporation ,Bothell,1,"Saturday, September 29, 2007",7/30/2007
Swedish Sleep Medicine Institute ,Seattle,67,"Sunday, September 16, 2007",7/18/2007
Fleetwood Housing ,Woodland,135,"Wednesday, September 12, 2007",9/12/2007
ICOS Corporation ,Bothell,5,"Wednesday, August 29, 2007",5/14/2007
ARAMARK Healthcare ,Spokane,245,"Tuesday, August 28, 2007",6/29/2007
Electronic Data Systems ,Federal Way,147,"Friday, August 24, 2007",7/6/2007
"GreenPoint Mortgage Funding, Inc. ",Bellevue,41,"Thursday, August 23, 2007",8/23/2007
ICOS Corporation ,Bothell,1,"Wednesday, August 01, 2007",6/1/2007
SK Food Group ,Seattle ,90,"Wednesday, August 01, 2007",5/25/2007
Aleut Global Solutions ,Tacoma,7,"Monday, July 30, 2007",7/2/2007
"Commercial Vehicle Group, Inc. ",Seattle-Tacoma,115,"Monday, July 30, 2007",5/30/2007
ICOS Corporation ,Bothell,2,"Sunday, July 08, 2007",5/8/2007
"King County Publications, Ltd. ",Kent,109,"Friday, June 29, 2007",4/30/2007
ICOS Corporation ,Bothell,1,"Friday, June 29, 2007",4/27/2007
Bank of America ,Spokane,205,"Friday, June 29, 2007",3/14/2007
ICOS Corporation ,Redmond,1,"Friday, June 22, 2007",4/16/2007
ICOS Corporation ,Bothell,1,"Sunday, June 17, 2007",4/16/2007
Alltel ,Issaquah,260,"Saturday, June 16, 2007",4/13/2007
Electric Boat ,Bremerton,2,"Friday, June 01, 2007",3/2/2007
ICOS Corporation ,Bothell,17,"Tuesday, May 29, 2007",3/28/2007
Cosmo Store Services ,Statewide,17,"Sunday, May 27, 2007",3/23/2007
"U.S. Foodservice, Inc. ",Ridgefield,43,"Friday, May 25, 2007",2/21/2007
Bethlehem Construction ,Cashmere,76,"Thursday, May 24, 2007",4/20/2007
ICOS Corporation ,Bothell,1,"Saturday, May 05, 2007",3/5/2007
Electric Boat ,Bremerton,6,"Friday, May 04, 2007",2/16/2007
New Century Financial Corporation ,Bellevue,41,"Friday, May 04, 2007",5/4/2007
ICOS Corporation ,Bothell,1,"Tuesday, May 01, 2007",3/22/2007
"Sun Microsystems, Inc ",Bellevue,2,"Monday, April 30, 2007",2/28/2007
ICOS Corporation ,Bothell/Redmond/Bellevue,61,"Sunday, April 29, 2007",2/27/2007
Millenium Funding Group ,Vancouver,72,"Thursday, April 26, 2007",4/26/2007
"Portac, Inc. ",Tacoma,45,"Sunday, April 01, 2007",1/15/2007
AgriNorthwest ,Kennewick,106,"Saturday, March 31, 2007",1/15/2007
Trident Seafoods Corporation ,Fife,106,"Friday, March 30, 2007",1/11/2007
Sealed Air ,Kent,99,"Friday, March 30, 2007",2/28/2007
ICOS Corporation ,Bothell,10,"Thursday, March 29, 2007",1/25/2007
"Sun Microsystems, Inc ",Bellevue,1,"Monday, March 26, 2007",1/24/2007
Bessie Burton Sullivan Nursing Residence ,Seattle,196,"Thursday, March 15, 2007",1/8/2007
Millenium Funding Group ,Vancouver,76,"Friday, March 02, 2007",3/6/2007
ICOS Corporation ,Bothell/Redmond/Bellevue,11,"Monday, February 12, 2007",12/14/2006
ICOS Corporation ,Bothell/Redmond/Bellevue,111,"Monday, February 05, 2007",12/7/2006
Electric Boat ,Bremerton,50,"Friday, February 02, 2007",12/1/2006
ICOS Corporation ,Bothell,268,"Wednesday, January 31, 2007",1/11/2007
ICOS Corporation ,Bothell/Redmond,15,"Monday, January 29, 2007",11/30/2006
ICOS Corporation ,Bothell,20,"Tuesday, January 16, 2007",11/17/2006
"Sun Microsystems, Inc ",Bellevue,3,"Monday, January 15, 2007",11/15/2006
ICOS Corporation ,Bothell,56,"Monday, January 08, 2007",11/9/2006
ICOS Corporation ,Bothell,197,"Tuesday, January 02, 2007",11/2/2006
Star Manufacturing ,Everett,107,"Monday, January 01, 2007",8/24/2006
"Marine Industries Northwest, Inc ",Tacoma,75,"Wednesday, December 27, 2006",10/27/2006
Leavenworth Wood Products ,Leavenworth,102,"Tuesday, December 12, 2006",10/11/2006
Electric Boat ,Bremerton,56,"Friday, December 08, 2006",10/5/2006
Washington Mutual ,Lynnwood,140,"Tuesday, December 05, 2006",10/4/2006
"Sun Microsystems, Inc ",Bellevue,2,"Monday, November 27, 2006",9/27/2006
Spherion ,Redmond,141,"Monday, November 27, 2006",10/2/2006
TransAlta ,Centralia,568,"Monday, November 27, 2006",11/27/2006
Electric Boat ,Bremerton,15,"Friday, November 17, 2006",9/15/2006
Trammell Crow Company ,Bellevue,64,"Wednesday, November 15, 2006",9/15/2006
UPS Supply Chain Solutions ,Auburn,57,"Wednesday, November 15, 2006",11/15/2006
DMX Music ,Seattle,120,"Monday, October 30, 2006",8/30/2006
Glaxo Smith Kline ,Bothell,63,"Wednesday, October 25, 2006",10/24/2006
"Tyson's Fresh Meats, Inc ",Pasco,590,"Monday, October 16, 2006",8/17/2006
Chelan Fruit ,Pateros,84,"Sunday, October 15, 2006",9/28/2006
Electric Boat ,Bremerton,44,"Friday, October 13, 2006",8/11/2006
"Sun Microsystems, Inc ",Bellevue,4,"Monday, October 02, 2006",8/2/2006
Bank of America ,Richland,121,"Sunday, October 01, 2006",7/26/2006
Bank of America ,Seattle,255,"Sunday, October 01, 2006",7/26/2006
Bank of America ,Seattle,89,"Sunday, October 01, 2006",7/12/2006
Weyerhaeuser Company ,Cosmopolis,245,"Sunday, October 01, 2006",10/21/2005
Pony Lumber Company ,Tacoma,125,"Thursday, September 14, 2006",7/14/2006
Electric Boat ,Bremerton,24,"Friday, September 08, 2006",7/7/2006
"Ocean Beauty Seafoods, Inc ",Seattle,120,"Friday, September 01, 2006",7/7/2006
Larry's Markets ,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",545,"Wednesday, August 30, 2006",5/26/2006
Shurgard Self Storage ,Seattle,175,"Friday, August 25, 2006",7/27/2006
"Sun Microsystems, Inc ",Bellevue,3,"Monday, August 21, 2006",6/21/2006
Yakima Resources ,Yakima,250,"Saturday, August 05, 2006",6/1/2006
Washington Mutual ,Bothell,900,"Sunday, July 30, 2006",6/1/2006
K-Mart ,Wenatchee,60,"Wednesday, July 12, 2006",5/8/2006
Mega Foods ,Tacoma,80,"Saturday, July 08, 2006",4/27/2006
Food Services of America ,Seattle,125,"Friday, June 30, 2006",5/2/2006
Amtech Corp ,Yelm,47,"Friday, June 30, 2006",3/31/2006
"Wackenhut Services, Inc ",Bangor,100,"Friday, June 30, 2006",4/1/2006
American Airlines ,SeaTac,28,"Monday, May 29, 2006",3/31/2006
Cingular Wireless ,Redmond,2,"Tuesday, May 09, 2006",3/10/2006
"Sun Microsystems, Inc ",Bellevue,2,"Monday, May 08, 2006",3/8/2006
Cingular Wireless ,"Bothell, Redmond",17,"Tuesday, April 25, 2006",2/24/2006
Cingular Wireless ,"Bothell, Redmond",6,"Tuesday, April 11, 2006",2/10/2006
Virginia Mason Clinics ,Port Angeles,98,"Friday, March 31, 2006",1/20/2006
UNICCO ,Federal Way,90,"Friday, March 31, 2006",1/16/2006
Cingular Wireless ,"Bothell, Redmond",34,"Tuesday, March 28, 2006",1/27/2006
Cingular Wireless ,"Bothell, Redmond",2,"Tuesday, March 14, 2006",1/16/2006
Defense Logistics Agency ,Fort Lewis,1,"Monday, March 13, 2006",2/22/2006
OfficeMax home Plate ,Elma,63,"Saturday, March 11, 2006",1/9/2006
Ossur Generation II USA ,Bothell,49,"Wednesday, March 08, 2006",3/13/2006
Bank of America ,Seattle,115,"Friday, March 03, 2006",11/10/2005
"Schoeller Arca Systems, Inc ",Tacoma,86,"Wednesday, March 01, 2006",12/29/2005
Cingular Wireless ,"Bothell, Redmond",1,"Tuesday, February 14, 2006",12/16/2005
Sinnett's MarketPlace ,Longview,65,"Saturday, February 11, 2006",1/24/2006
"Bechtel National, Inc. ",Richland,275,"Monday, February 06, 2006",12/8/2005
Delta Airlines ,Seattle,68,"Wednesday, February 01, 2006",11/30/2005
Cingular Wireless ,"Bothell, Redmond",16,"Tuesday, January 31, 2006",12/2/2005
Panasonic ,Vancouver,104,"Monday, January 30, 2006",1/30/2006
Georgia Pacific Corporation ,Camas,32,"Friday, January 27, 2006",11/22/2006
"Welch Foods, Inc. ",Kennewick,163,"Wednesday, January 18, 2006",11/1/2005
Getronics ,Blaine,2,"Friday, January 13, 2006",11/29/2005
Metro One ,Tukwila,45,"Monday, January 09, 2006",11/7/2005
Ridpath Hotel ,Spokane,74,"Saturday, January 07, 2006",11/7/2005
Cingular Wireless ,"Bothell, Redmond",7,"Tuesday, January 03, 2006",11/4/2005
"Woodbridge Gardens, Inc ",Winlock,4,"Friday, December 30, 2005",10/28/2005
Delaware North Companies ,Spokane,80,"Wednesday, December 28, 2005",11/10/2005
First Hill Care Center ,Seattle,103,"Tuesday, December 27, 2005",10/26/2005
Cingular Wireless ,"Bothell, Redmond",25,"Tuesday, December 20, 2005",10/21/2005
Weyerhaeuser Company ,Aberdeen,97,"Monday, December 19, 2005",10/21/2005
Interstate Brands Corp ,Lakewood,185,"Saturday, December 17, 2005",10/17/2005
Electronic Data Systems ,Tacoma,122,"Friday, December 09, 2005",10/7/2005
Cingular Wireless ,"Bothell, Redmond",24,"Tuesday, December 06, 2005",10/7/2005
"Maxon Furniture, Inc ",Kent,73,"Friday, December 02, 2005",8/25/2005
GB Enterprises ,Arlington,138,"Tuesday, November 29, 2005",9/28/2005
Cingular Wireless ,"Bothell, Redmond",15,"Tuesday, November 22, 2005",9/23/2005
"Phillips Ultrasound, Inc ",Bothell,1,"Friday, November 18, 2005",9/19/2005
Getronics ,Blaine,2,"Tuesday, November 15, 2005",9/14/2005
Kinross Gold Corp ,Republic,65,"Monday, November 14, 2005",9/8/2005
Cingular Wireless ,"Bothell, Redmond",7,"Tuesday, November 08, 2005",9/9/2005
TreeSource ,Tumwater,124,"Sunday, November 06, 2005",9/2/2005
Jeld Wen ,Everett,85,"Tuesday, October 25, 2005",8/24/2005
TFS Electronic Manufacturing ,Redmond,171,"Saturday, October 22, 2005",8/19/2005
Cingular Wireless ,"Bothell, Redmond",9,"Tuesday, October 11, 2005",8/12/2005
"Phillips Ultrasound, Inc ",Bothell,2,"Friday, October 07, 2005",8/9/2005
IAP World Services ,Bangor,787,"Saturday, October 01, 2005",7/25/2005
Cingular Wireless ,"Bothell, Redmond",6,"Tuesday, September 27, 2005",7/29/2005
"Phillips Ultrasound, Inc ",Bothell,33,"Friday, September 16, 2005",7/15/2005
Cingular Wireless ,"Bothell, Redmond",10,"Wednesday, September 14, 2005",7/15/2005
"Rockwell Collins, Inc ",Kirkland,135,"Friday, August 26, 2005",5/23/2005
Jeld Wen ,Everett,75,"Tuesday, August 23, 2005",6/20/2005
Cingular Wireless ,"Bothell, Redmond",4,"Tuesday, August 16, 2005",6/21/2005
"Monolith Productions, Inc ",Kirkland,80,"Monday, August 15, 2005",6/15/2005
"Phillips Ultrasound, Inc ",Bothell,13,"Friday, August 12, 2005",6/10/2005
"Cell Therapeutics, Inc ",Seattle,92,"Tuesday, August 02, 2005",6/2/2005
Durham School Services ,Seattle,98,"Sunday, July 31, 2005",5/26/2005
PhotoWorks.com ,Seattle,3,"Friday, July 22, 2005",7/11/2005
Cingular Wireless ,"Bothell, Redmond",15,"Tuesday, July 19, 2005",5/20/2005
Alaska Airlines ,Seattle,477,"Sunday, July 17, 2005",5/13/2005
"Contec, LLC ",Seattle,70,"Friday, July 15, 2005",5/12/2005
Corixa Corp. ,Seattle,70,"Friday, July 15, 2005",7/13/2005
Cingular Wireless ,"Bothell, Redmond",12,"Tuesday, July 05, 2005",5/5/2005
Laidlaw Transit Services ,Redmond,75,"Thursday, June 30, 2005",5/9/2005
American Commercial Security Services ,Bellevue,155,"Thursday, June 30, 2005",5/16/2005
"Bechtel National, Inc. ",Richland,350,"Friday, June 24, 2005",4/25/2005
Cingular Wireless ,Redmond,4,"Tuesday, June 21, 2005",4/22/2005
Qwest ,Seattle,23,"Wednesday, June 08, 2005",4/15/2005
Qwest ,Seattle,144,"Wednesday, June 08, 2005",3/22/2005
United Airlines ,Kent,426,"Sunday, June 05, 2005",4/4/2005
Lennox Hearth Products ,Burlington,72,"Friday, June 03, 2005",4/4/2005
"Phillips Ultrasound, Inc ",Bothell,43,"Friday, May 20, 2005",3/17/2005
Cingular Wireless ,"Bothell, Redmond",26,"Friday, May 13, 2005",3/14/2005
Brown & Cole Stores ,Pasco,64,"Friday, May 06, 2005",3/3/2005
Brown & Cole Stores ,Smokey Point,65,"Friday, May 06, 2005",3/3/2005
Brown & Cole Stores ,Yakima,67,"Friday, May 06, 2005",3/3/2005
Yakima Resources ,Yakima,118,"Saturday, April 30, 2005",3/1/2005
Cingular Wireless ,"Bothell, Redmond",73,"Friday, April 29, 2005",2/28/2005
Sanmina-SCI ,Bothell,53,"Friday, April 22, 2005",2/22/2005
Cingular Wireless ,"Bothell, Redmond",182,"Friday, April 15, 2005",2/11/2005
Cingular Wireless ,"Bothell, Redmond",160,"Monday, April 04, 2005",1/31/2005
PhotoWorks.com ,Seattle,67,"Thursday, March 31, 2005",1/19/2005
Pacific Marine Maintenance Co. ,Tacoma,72,"Thursday, March 31, 2005",1/26/2005
"Sallie Mae, Inc ",Seattle,74,"Monday, March 28, 2005",1/26/2005
Masonic Retirement Center of WA ,Des Moines,125,"Sunday, March 27, 2005",1/26/2005
Cingular Wireless ,"Bothell, Redmond",88,"Friday, March 18, 2005",1/17/2005
"Phillips Ultrasound, Inc ",Bothell,17,"Friday, March 18, 2005",1/17/2005
Cingular Wireless ,"Bothell, Redmond",155,"Monday, March 07, 2005",12/30/2004
Panasonic ,Kent,63,"Friday, January 21, 2005",11/15/2004
Capital One ,Federal Way,256,"Monday, January 03, 2005",12/21/2004
Trinity Universal Insurance Co. ,Spokane,47,"Saturday, January 01, 2005",10/29/2004
HMS Host ,SeaTac,103,"Monday, December 13, 2004",10/11/2004
Corixa Corp. ,Seattle,60,"Monday, December 13, 2004",12/13/2004
Alcoa-Wenatchee ,Malaga,59,"Sunday, December 12, 2004",9/20/2004
Alaska Airlines ,Seattle,189,"Wednesday, December 01, 2004",9/9/2004
Plexus Corp ,Bothell,163,"Saturday, November 20, 2004",9/21/2004
Microsoft ,Redmond,67,"Monday, October 25, 2004",8/23/2004
Guidant Sales Corp ,Redmond,2,"Friday, October 08, 2004",8/6/2004
Target ,Federal Way,134,"Tuesday, October 05, 2004",7/28/2004
SuperValue ,Tacoma,220,"Sunday, October 03, 2004",8/3/2004
Alcoa-Wenatchee ,Malaga,400,"Friday, October 01, 2004",7/28/2004
Johnson Controls ,Silverdale,35,"Friday, October 01, 2004",7/21/2004
Premera Blue Cross ,Mountlake Terrace,82,"Thursday, September 30, 2004",7/26/2004
Guidant Sales Corp ,Kirkland,2,"Monday, September 27, 2004",7/29/2004
Sacred Heart Hospital ,Spokane,174,"Tuesday, August 31, 2004",6/30/2004
Brown & Williamson Tobacco ,Bellevue,31,"Tuesday, August 31, 2004",7/1/2004
"Qualex, Inc. ",Chehalis,80,"Monday, August 23, 2004",6/14/2004
IBM ,Redmond,63,"Tuesday, August 17, 2004",6/3/2004
"Ericsson, Inc ",Redmond,3,"Friday, July 30, 2004",6/9/2004
Selkirk Industries ,Lynnwood,52,"Sunday, July 11, 2004",5/12/2004
GE Osmonics ,Kent,27,"Thursday, July 01, 2004",4/26/2004
GMAC Financial Services ,Bellevue,43,"Wednesday, June 30, 2004",4/22/2004
Evergreen Vista Convalescent Center ,Kirkland,131,"Wednesday, June 30, 2004",4/14/2004
Terabeam Corporation ,Redmond,13,"Tuesday, June 22, 2004",4/22/2004
Terabeam Corporation ,Redmond,87,"Sunday, June 13, 2004",4/14/2004
Custom Apple Packers ,Brewster,73,"Friday, June 11, 2004",4/6/2004
HealthNet Federal Services ,Tacoma,82,"Friday, May 28, 2004",3/31/2004
Peter Pan Seafoods ,Seattle,63,"Wednesday, May 26, 2004",3/22/2004
J.R. Simplot Company ,Quincy,606,"Tuesday, May 18, 2004",3/19/2004
GL&V ,Vancouver,46,"Friday, May 07, 2004",3/8/2004
Merrill Lynch Howard Johnson's ,Seattle,92,"Friday, April 30, 2004",2/27/2004
Wells Fargo Bank ,Oak Harbor,84,"Wednesday, April 28, 2004",3/22/2004
USCO Logistics ,Sumner,212,"Saturday, April 03, 2004",2/2/2004
Washington Mutual ,Seattle,170,"Thursday, April 01, 2004",5/18/2004
Airborne Express ,Seattle,1000,"Wednesday, March 31, 2004",3/29/2004
Todd Pacific Shipyards Corp ,Seattle,500,"Friday, March 26, 2004",3/22/2004
Swedish Medical Center ,Seattle,161,"Monday, March 22, 2004",1/21/2004
Experience Music Project ,Seattle,150,"Monday, March 15, 2004",1/20/2004
"Fujicolor Processing, Inc ",Tukwila,49,"Thursday, February 26, 2004",2/26/2004
Software Spectrum ,Liberty Lake,60,"Thursday, February 05, 2004",1/9/2004
