Company,Location,Num Employees,Date of Effect,Date of Notification
Emeritus Senior Living ,"Seattle, WA",6,"Monday, October 06, 2014",8/5/2014
Elliott's Oyster House ,"Seattle, WA",200,"Wednesday, October 01, 2014",7/31/2014
G4S Government Solutions ,"Bangor, Silverdale",93,"Tuesday, September 30, 2014",8/4/2014
Boeing ,Puget Sound,95,"Friday, September 19, 2014",7/18/2014
Waste Management  ,"Oak Harbor, WA",125,"Friday, September 19, 2014",6/25/2014
Hightail ,Not Provided,1,"Wednesday, September 17, 2014",9/17/2014
Microsoft ,Redmond,1351,"Monday, September 15, 2014",7/17/2014
CenturyLink ,"Seattle, WA",158,"Monday, August 11, 2014",6/9/2014
Emeritus Senior Living ,"Seattle, WA",4,"Thursday, July 31, 2014",5/29/2014
Eagle Marine Services ,"Seattle, WA",94,"Thursday, July 31, 2014",5/30/2014
Interfor ,"Beaver & Forks, WA",87,"Thursday, July 31, 2014",7/31/2014
Eager Beaver Computers ,"Spokane Valley, WA",1,"Monday, June 30, 2014",4/12/2014
"Mettler-Toledo AutoChem, Inc. ","Redmond, WA",21,"Monday, June 30, 2014",1/14/2014
Express Scripts ,"Liberty Lake, WA",203,"Sunday, June 29, 2014",4/29/2014
PerkinElmer ,"Spokane, WA",80,"Friday, June 27, 2014",4/29/2014
Sears ,Seattle,13,"Sunday, June 01, 2014",2/19/2014
Sears ,"Seattle, WA",66,"Sunday, June 01, 2014",2/26/2014
Chasing Fireflies ,Seattle,92,"Thursday, May 01, 2014",2/26/2014
Pepsi ,Seattle,52,"Tuesday, April 22, 2014",2/20/2014
Boeing ,Puget Sound,79,"Friday, April 18, 2014",2/14/2014
Boeing ,Puget Sound,9,"Friday, April 04, 2014",1/31/2014
Boeing ,Puget Sound,8,"Friday, March 21, 2014",1/17/2014
General Dynamics/Electric Boat ,"Silverdale, WA",29,"Friday, March 14, 2014",1/17/2014
Oldcastle Building Envelope ,Everett,56,"Wednesday, March 12, 2014",1/10/2014
Sprint ,"Bellevue & Kirkland, WA",91,"Saturday, March 01, 2014",2/5/2014
Boeing ,Puget Sound,11,"Friday, February 21, 2014",12/20/2013
N-Store Merchandising ,"Statewide, WA",35,"Monday, February 03, 2014",2/4/2014
Zynga Inc. ,Seattle,52,"Thursday, January 30, 2014",1/30/2014
Boeing ,Puget Sound,71,"Friday, January 24, 2014",11/22/2013
Berry Plastics Corporation ,Kent,118,"Sunday, January 19, 2014",11/19/2013
Electric Boat ,Bremerton,6,"Friday, January 03, 2014",11/1/2013
Boeing ,Puget Sound,39,"Wednesday, January 01, 2014",11/1/2013
Sprint ,Bellevue,17,"Tuesday, December 31, 2013",11/11/2013
Pacific Rail Services ,Seattle,75,"Tuesday, December 31, 2013",10/17/2013
Transfield Services Rersource & Energy ,"Ferndale, WA",49,"Tuesday, December 31, 2013",12/9/2013
Pacific Construction Systems ,Bellevue,103,"Tuesday, December 31, 2013",7/15/2013
Boeing ,Puget Sound,200,"Friday, December 13, 2013",10/11/2013
Visiting Nurse Home Care ,"Whatcom, County",150,"Saturday, November 30, 2013",9/30/2013
Boeing ,Puget Sound,266,"Friday, November 22, 2013",9/20/2013
RockTenn ,Renton,58,"Friday, November 22, 2013",9/23/2013
Mike Campbell & Associates ,Lacey,76,"Tuesday, November 12, 2013",9/5/2013
Boeing ,Puget Sound,3,"Friday, September 27, 2013",7/25/2013
"Fluor Federal Services, Inc. ",Richland,150,"Thursday, September 26, 2013",7/1/2013
Boeing ,Puget Sound,143,"Friday, September 20, 2013",7/18/2013
Sprint ,Bellevue & Kirkland,161,"Friday, September 20, 2013",9/5/2013
RoadLink Workforce Solutions ,Chehalis,86,"Sunday, September 15, 2013",9/3/2013
Andrews International Inc. ,Seattle,35,"Sunday, September 01, 2013",7/15/2013
Boeing ,Puget Sound,266,"Friday, August 23, 2013",6/21/2013
AREVA Federal Services LLC ,Richland,3,"Wednesday, July 31, 2013",7/31/2013
Boeing ,Puget Sound,253,"Friday, July 19, 2013",5/17/2013
First A.M.E. Child Development Center ,Seattle,45,"Sunday, June 30, 2013",4/10/2013
Medical Center Pharmacy ,Olympia,4,"Sunday, June 30, 2013",7/21/2013
Boeing ,Puget Sound,99,"Friday, June 21, 2013",4/19/2013
Boeing ,Puget Sound,939,"Friday, June 07, 2013",4/5/2013
Zynga Inc. ,Seattle,2,"Monday, June 03, 2013",6/3/2013
EPIC ,Yakima County,328,"Friday, May 31, 2013",5/7/2013
"Sykes Enterprises, Incorporated ",Spokane Valley,148,"Sunday, May 26, 2013",3/26/2013
RoadLink Workforce Solutions ,Chehalis,150,"Saturday, May 18, 2013",5/2/2013
Sargento ,Bellingham,34,"Friday, May 03, 2013",4/8/2013
"Semiahmoo Resort Company, LLC ",Blaine,107,"Friday, May 03, 2013",3/5/2013
Comprehensive Clinical Development NW ,Tacoma,43,"Wednesday, April 17, 2013",4/16/2013
American Suzuki Motor Corporation ,Snohomish and Spokane Counties,2,"Thursday, March 14, 2013",1/14/2013
Kmart ,Seattle,85,"Sunday, March 10, 2013",1/8/2013
"Pacific Physicians' Laboratory, Inc.  ",Lynnwood,59,"Saturday, March 09, 2013",1/8/2013
Central Parking ,Bellevue,102,"Thursday, February 28, 2013",2/13/2013
Skookum ,Ft. Lewis,54,"Thursday, February 28, 2013",12/28/2012
Levy Premium Foodservice LP ,Seattle,363,"Tuesday, February 26, 2013",1/29/2013
TriWest Healthcare Alliance Corporation ,Everett,2,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Oak Harbor,4,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Fairchild AFB,3,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Pierce County,127,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Yakima,1,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Seattle,1,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Port Angeles,2,"Friday, February 15, 2013",12/10/2012
TriWest Healthcare Alliance Corporation ,Bremerton,5,"Friday, February 15, 2013",12/10/2012
Life Care Center of West Seattle ,Seattle,99,"Thursday, January 31, 2013",11/29/2012
Briggs Nursery ,Porter,150,"Friday, January 25, 2013",1/25/2013
"Clopay Building Products Company, Inc.  ",Auburn,55,"Friday, January 25, 2013",10/25/2012
"Semiahmoo Resort Company, LLC ",Blaine,224,"Monday, December 31, 2012",10/29/2012
Katana Summit ,Ephrata,81,"Monday, December 31, 2012",12/26/2012
BAE Systems ,Keyport,57,"Thursday, December 27, 2012",10/22/2012
Draper Valley Holdings LLC ,Renton,66,"Friday, December 07, 2012",10/5/2012
Dendreon Corporation ,Seattle,145,"Tuesday, November 20, 2012",9/19/2012
American Airlines ,Seattle,66,"Friday, November 16, 2012",9/17/2012
URS Federal Services ,Oak Harbor,236,"Wednesday, October 31, 2012",9/20/2012
Harland Clarke Holdings Corp. ,Milton,35,"Tuesday, October 09, 2012",7/30/2012
Auburn Regional Medical Center ,Auburn,827,"Friday, September 28, 2012",7/27/2012
Universal Lumpers ,Auburn,97,"Monday, September 24, 2012",7/19/2012
"Thales Avionics, Inc. ",Seattle,42,"Friday, September 14, 2012",7/12/2012
Seattle Hilton Hotel ,Seattle,141,"Monday, September 03, 2012",7/3/2012
Delta Air Lines Reservation Call Center ,SeaTac,189,"Saturday, September 01, 2012",5/18/2012
National Food Corporation ,Everett,75,"Friday, August 24, 2012",6/21/2012
Berry Plastics Corporation ,Kent,59,"Friday, August 24, 2012",9/7/2012
Parsons ,Pasco,103,"Sunday, August 19, 2012",6/19/2012
AREVA Federal Services LLC ,Richland,5,"Wednesday, August 15, 2012",8/15/2012
Sterling Bank (First Independent Bank) ,Vancouver,63,"Friday, August 03, 2012",5/31/2012
Hostess Brands ,Bellingham,6,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Everett,15,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Seattle,111,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Kent,17,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Bremerton,6,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Lakewood,53,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Tacoma,3,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Tumwater,8,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Longview,6,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Moses Lake,2,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Yakima,9,"Tuesday, July 03, 2012",5/4/2012
Hostess Brands ,Spokane,14,"Tuesday, July 03, 2012",5/4/2012
BAE Systems ,Keyport,61,"Saturday, June 30, 2012",4/16/2012
Verizon Wireless ,Bellevue,814,"Saturday, June 30, 2012",4/30/2012
"Amonix, Inc. ",Langley,1,"Saturday, June 30, 2012",5/1/2012
Davis Wire Corporation ,Kent,57,"Tuesday, June 19, 2012",4/20/2012
Cardiac Science Corporate ,Bothell,60,"Tuesday, June 05, 2012",4/5/2012
Harland Clarke Holdings Corp. ,Milton,74,"Saturday, June 02, 2012",4/3/2012
"Zipper Interactive, Inc. ",Redmond,86,"Friday, June 01, 2012",4/23/2012
Boeing ,Puget Sound,39,"Monday, May 28, 2012",3/23/2012
CenturyLink ,Gig Harbor,52,"Friday, April 27, 2012",2/23/2012
Swedish Visiting Nurse Services ,"Seattle, Mountlake Terrace",216,"Friday, April 27, 2012",2/27/2012
Heinz North America ,Kent,79,"Friday, April 13, 2012",2/10/2012
"Sykes Enterprises, Incorporated ",Spokane Valley,167,"Monday, March 12, 2012",1/10/2012
Snokist Growers ,Yakima,607,"Sunday, February 05, 2012",12/7/2011
"Emerald Shared Services DBA K&L Distributors, Inc. ",Renton,215,"Friday, January 20, 2012",11/17/2011
Washington State Employment Security Department ,Statewide,222,"Monday, January 16, 2012",10/21/2011
Kimberly-Clark Corporation ,Everett,760,"Sunday, January 01, 2012",10/14/2011
Kerry Ingredients & Flavours ,Kent,58,"Friday, December 16, 2011",10/13/2011
"Lowe's HIW, Inc. ",Tacoma,92,"Friday, December 16, 2011",10/17/2011
Hampton Lumber Mills ,Darrington,76,"Monday, December 12, 2011",10/12/2011
"BlueScope Buildings North America, Inc. ",Arlington,67,"Monday, December 12, 2011",10/13/2011
Stimson Lumber ,Colville,67,"Friday, November 11, 2011",9/8/2011
Kmart ,Spokane,68,"Sunday, November 06, 2011",8/9/2011
Hampton Affiliates ,Randle,80,"Monday, October 31, 2011",8/4/2011
TeleTech ,Bremerton,240,"Sunday, October 30, 2011",8/31/2011
Lockheed Martin Corporation ,5 Puget Sound military locations,41,"Friday, September 30, 2011",7/28/2011
CH2MHill Plateau Remediation Company ,Richland,750,"Thursday, September 29, 2011",7/29/2011
Materials & Energy Corporation ,Richland,141,"Thursday, September 29, 2011",7/28/2011
"Woodinville Lumber, Inc. ",Woodinville,76,"Friday, August 26, 2011",8/8/2011
"Woodinville Construction Services, L.L.C. ",Woodinville,38,"Friday, August 26, 2011",8/8/2011
Tri-County Truss ,Burlington,94,"Friday, August 26, 2011",8/8/2011
Wells Fargo Home Mortgage Servicing ,Bellevue,113,"Sunday, August 21, 2011",6/22/2011
Monterey Gormet Foods ,Kent,75,"Wednesday, August 17, 2011",6/17/2011
"Insight Schools, Inc. ",Bellevue,168,"Monday, July 18, 2011",5/18/2011
Cardiac Science Corporate ,Bothell,54,"Friday, July 01, 2011",4/26/2011
"Radia, Inc. P. S. ",Everett,51,"Thursday, June 30, 2011",11/15/2011
BAE Systems ,Keyport,90,"Thursday, June 30, 2011",4/29/2011
Pinnacle Foods Group ,Tacoma,139,"Thursday, June 23, 2011",4/25/2011
Petermann Northwest LLC ,Seattle,109,"Wednesday, June 22, 2011",5/26/2011
Whirlpool Corporation ,Yakima,140,"Monday, June 13, 2011",4/12/2011
Penguin Windows ,"Lynnwood, Vancouver",121,"Friday, June 10, 2011",6/15/2011
"Grays Harbor Paper, LLC ",Hoquiam,231,"Wednesday, May 25, 2011",5/25/2011
Harland Clarke Holdings Corp. ,Milton,53,"Saturday, April 09, 2011",2/9/2011
"Union Bank, N.A. ",Everett,72,"Thursday, March 31, 2011",3/8/2011
"Pilchuck Contractors, Inc. ",Puget Sound,300,"Monday, March 28, 2011",1/27/2011
DAL Global Services ,Seattle,168,"Wednesday, February 23, 2011",1/31/2011
"Semiahmoo Resort Company, LLC ",Blaine,321,"Tuesday, February 15, 2011",12/14/2010
CompuCom Application Services ,Bellevue,60,"Tuesday, February 08, 2011",2/14/2011
Penguin Windows ,"Lynwood, Mukilteo, Lakewood",210,"Tuesday, February 01, 2011",2/1/2011
"ZipRealty, Inc. ",Kirkland,129,"Monday, January 31, 2011",11/29/2010
Exel ,Auburn,146,"Saturday, January 29, 2011",10/29/2010
International Paper ,Bellevue,78,"Friday, January 14, 2011",11/15/2010
"Icicle Seafoods, Inc. ",Seattle,83,"Monday, December 20, 2010",10/21/2010
AHP (Associated Hygienic Products LLC) ,Vancouver,101,"Saturday, November 27, 2010",9/28/2010
Xanodyne ,Western Washington,3,"Sunday, November 21, 2010",9/21/2010
"The Men's Wearhouse, Inc. ",Fife,42,"Friday, November 12, 2010",9/10/2010
CDM Long-Term Care Services ,Vancouver,100,"Monday, November 01, 2010",10/14/2010
"Icicle Seafoods, Inc. ",Bellingham,71,"Monday, October 18, 2010",8/2/2010
Skookum Fleet Management  ,Fort Lewis,50,"Monday, October 18, 2010",8/17/2010
Cruise West ,Seattle,65,"Wednesday, September 08, 2010",9/8/2010
Commercial Vehicle Group ,Vancouver,12,"Wednesday, September 01, 2010",7/15/2010
Mason County Forest Products ,Shelton,130,"Saturday, July 31, 2010",6/2/2010
Boeing ,Puget Sound,17,"Friday, July 23, 2010",5/21/2010
Skookum Fleet Management  ,Fort Lewis,176,"Monday, July 12, 2010",7/12/2010
Columbia Valley Community Health ,Wenatchee,53,"Thursday, July 01, 2010",6/2/2010
Boeing ,Puget Sound,125,"Friday, June 18, 2010",4/16/2010
AlliedBarton Security Services LLC ,"Seattle, Bellevue",128,"Thursday, June 17, 2010",5/17/2010
"ConAgra Foods, Inc. ",Prosser,218,"Sunday, May 30, 2010",3/26/2010
Boeing ,Puget Sound,65,"Friday, May 21, 2010",3/19/2010
"AB Car Rental Services, Inc.  ",Tukwila,206,"Wednesday, May 19, 2010",3/17/2010
Kmart ,Bremerton,55,"Monday, May 17, 2010",2/3/2010
Boeing ,Puget Sound,527,"Friday, April 23, 2010",2/19/2010
Zumiez Inc. ,Everett,172,"Friday, April 23, 2010",2/19/2010
"Olympic Security Services, Inc. ",Tukwila,54,"Friday, April 16, 2010",3/11/2010
BCI Coca Cola Bottling Company ,Woodland,56,"Thursday, April 01, 2010",1/29/2010
Boeing ,Puget Sound,9,"Friday, March 26, 2010",1/22/2010
Auto Warehousing Co.  ,Tacoma,55,"Monday, March 22, 2010",1/22/2010
Boeing ,Puget Sound,20,"Friday, March 19, 2010",1/15/2010
Bank of America ,Bellevue,50,"Friday, March 12, 2010",1/12/2010
